Row Labels,Drought,Earthquake,Extreme temperature,Extreme weather,Flood,Impact,Landslide,Mass movement (dry),Volcanic activity,Wildfire,Grand Total
1900,2,,,1,1,,,,1,,5
1901,,2,,,,,,,,,2
1902,,3,,1,,,,,5,,9
1903,1,1,,2,2,,,1,1,,8
1904,,1,,1,,,,,,,2
1905,,2,,1,,,,1,,,4
1906,1,10,,3,2,,,,1,,17
1907,,5,,,,,,,,,5
1908,,3,,,,,,1,,,4
1909,,3,,5,1,,1,,1,,11
1910,9,3,,1,1,,,1,,,15
1911,,,,2,1,,,,1,1,5
1912,,2,,5,,,,,,,7
1913,,4,,1,,,,,,,5
1914,,4,,1,,,,,1,,6
1915,,3,,2,1,,,1,,,7
1916,,1,,1,,,,,,,2
1917,,3,,2,1,,,,,,6
1918,,5,,1,,,,,,1,7
1919,1,,,2,,,,,1,,4
1920,2,3,,1,1,,,,,,7
1921,1,1,,,,,,,,,2
1922,,2,,2,,,1,,,1,6
1923,,5,,6,,,1,,,,12
1924,,2,,2,,,,,,,4
1925,,2,,3,1,,,,,,6
1926,,1,,7,4,,2,,1,,15
1927,,6,,4,2,,,,,,12
1928,1,7,,7,2,,,,,,17
1929,,2,,2,,,,,1,1,6
1930,,7,,4,1,,1,,1,,14
1931,1,4,,4,1,,1,,1,,12
1932,,2,,5,,,1,,,,8
1933,1,4,,3,2,,,,,,10
1934,,4,,4,,,1,,,,9
1935,,3,,7,1,,,,,,11
1936,,2,2,5,1,,1,,,,11
1937,,,,3,2,,,1,1,,7
1938,,2,,2,2,,1,,,,7
1939,,6,,2,2,,,,,1,11
1940,9,4,,3,1,,,,,,17
1941,,2,,2,,,1,,,,5
1942,1,5,,3,,,,,,,9
1943,1,5,,3,2,,,,1,,12
1944,,4,,5,,,,,1,2,12
1945,,4,,7,,,,,1,,12
1946,1,8,,5,,,,,1,,15
1947,1,2,,7,1,,,,,1,12
1948,,5,,10,5,,2,,1,,23
1949,,6,,8,2,,1,,2,1,20
1950,,4,,7,10,,1,,1,,23
1951,,3,2,11,7,,1,,3,,27
1952,,8,,10,4,,1,,1,,24
1953,,7,3,11,12,,,,1,,34
1954,,5,,10,9,,8,,1,,33
1955,,4,1,19,3,,2,1,,,30
1956,,6,,14,9,,5,,1,1,36
1957,,8,,9,11,,,,1,,29
1958,,4,2,13,3,,1,,,,23
1959,,3,,16,13,,1,,,,33
1960,1,9,,20,7,,2,,1,,40
1961,1,2,1,14,8,,2,,,,28
1962,,3,1,13,8,,2,1,,,28
1963,1,3,2,21,8,,2,1,3,,41
1964,7,7,,22,22,,1,,1,,60
1965,7,7,1,19,19,,5,1,1,1,61
1966,9,11,2,28,23,,4,,2,1,80
1967,5,10,,25,26,,2,,,2,70
1968,7,14,2,25,20,,4,,2,3,77
1969,10,8,,25,14,,1,,2,2,62
1970,2,11,,24,31,,5,1,,3,77
1971,7,5,1,22,15,,5,1,3,2,61
1972,7,5,2,26,15,,5,,,3,63
1973,2,4,3,22,20,,5,,1,3,60
1974,4,4,,28,19,,10,,,3,68
1975,1,4,3,28,17,,5,,3,2,63
1976,6,20,,36,17,,6,,5,1,91
1977,16,14,1,32,48,,3,,5,2,121
1978,9,9,1,42,47,,2,,2,3,115
1979,11,25,4,31,34,,7,,4,4,120
1980,14,24,3,42,39,,4,1,2,4,133
1981,13,17,2,50,43,,8,,1,4,138
1982,13,18,3,52,48,,11,2,3,3,153
1983,32,25,2,59,49,,15,4,7,12,205
1984,8,13,1,57,47,,6,,7,7,146
1985,3,22,8,51,58,,6,2,2,13,165
1986,4,21,2,56,50,,9,,2,6,150
1987,15,19,6,58,68,,13,2,2,8,191
1988,17,18,6,60,76,,15,3,5,,200
1989,7,19,5,73,46,,15,3,1,3,172
1990,12,43,13,137,60,,4,3,2,4,278
1991,18,29,8,66,77,,9,3,10,8,228
1992,12,25,7,76,59,,7,5,5,8,204
1993,9,20,4,108,84,,22,5,6,2,260
1994,13,25,9,81,88,,11,,6,13,246
1995,6,26,13,81,94,,16,,5,7,248
1996,6,13,5,77,92,,24,,5,5,227
1997,18,23,13,79,95,,13,,4,16,261
1998,20,30,12,88,94,,22,,4,18,288
1999,23,33,8,106,122,,18,,5,22,337
2000,27,30,31,102,157,,28,1,5,30,411
2001,22,25,23,105,157,,24,,6,14,376
2002,25,37,15,122,172,,20,1,7,22,421
2003,14,40,25,86,158,,21,,2,14,360
2004,11,42,16,124,128,,15,1,5,8,350
2005,20,25,30,130,193,,13,,8,13,432
2006,9,24,24,76,226,,20,1,12,9,401
2007,11,21,25,105,218,,10,,6,18,414
2008,16,23,10,111,165,,12,3,7,5,352
2009,18,22,25,87,151,,29,1,2,9,344
2010,17,24,29,94,184,,32,,6,7,393
2011,17,30,16,84,156,,17,,6,8,334
2012,21,27,51,90,136,,13,1,1,6,346
2013,9,29,14,105,149,1,11,1,3,10,332
2014,18,26,17,99,135,,15,,6,4,320
2015,28,23,12,118,160,,20,1,6,12,380
2016,15,30,12,84,161,,13,,,10,325
2017,7,19,11,85,114,,25,,2,13,276
2018,13,20,25,84,109,,13,1,7,10,282
Grand Total,727,1372,575,4129,4960,1,712,57,249,430,13212